id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
3679504306,node,Małomiejska,,,,,bus_stop,,54.329471588134766,18.6185302734375,przystanek_autobus
3679504307,node,Małomiejska,,,,,bus_stop,,54.32907485961914,18.6175479888916,przystanek_autobus
3679504308,node,Nowiny 02,,,,,bus_stop,,54.31759262084961,18.629465103149414,przystanek_autobus
3679504309,node,Nowiny 01,,,,,bus_stop,,54.319244384765625,18.630359649658203,przystanek_autobus
3679504310,node,Rejtana 02,,,,,bus_stop,,54.32814025878906,18.63360595703125,przystanek_autobus
3679504311,node,Rejtana 01,,,,,bus_stop,,54.32842254638672,18.63408660888672,przystanek_autobus
3679504312,node,Ukośna 02,,,,,bus_stop,,54.31093978881836,18.629554748535156,przystanek_autobus
3679504313,node,Ukośna 01,,,,,bus_stop,,54.311622619628906,18.629810333251953,przystanek_autobus
3679504314,node,Urząd Dozoru Technicznego 01,,,,,bus_stop,,54.31581115722656,18.62938117980957,przystanek_autobus
3679544002,node,Głucha 02,,,,,bus_stop,,54.32740783691406,18.64096450805664,przystanek_autobus
3679544003,node,Głucha 01,,,,,bus_stop,,54.32782745361328,18.641244888305664,przystanek_autobus
3679544004,node,Kolonia Mysia,,,,,bus_stop,,54.33182144165039,18.64266014099121,przystanek_autobus
3679544005,node,Kolonia Mysia,,,,,bus_stop,,54.33186340332031,18.64285659790039,przystanek_autobus
3679544006,node,Przybrzeżna,,,,,bus_stop,,54.33491897583008,18.64793586730957,przystanek_autobus
3679544007,node,Mostowa 02,,,,,bus_stop,,54.335205078125,18.649492263793945,przystanek_autobus
3679911349,node,Mostowa 01,,,,,bus_stop,,54.33634948730469,18.648632049560547,przystanek_autobus
3680234016,node,Bajana 01,,,,tram_stop,,,54.38999938964844,18.608219146728516,przystanek_tramwaj
3680234018,node,Legionów 02,,,,tram_stop,,,54.386802673339844,18.610918045043945,przystanek_tramwaj
3680234021,node,Mickiewicza 01,,,,tram_stop,,,54.383358001708984,18.62058448791504,przystanek_tramwaj
3680234022,node,Mickiewicza 03,,,,tram_stop,,,54.383995056152344,18.621959686279297,przystanek_tramwaj
3680234023,node,Plac Komorowskiego 02,,,,tram_stop,,,54.383445739746094,18.614633560180664,przystanek_tramwaj
3680239625,node,Stocznia Północna 02,,,,tram_stop,,,54.371700286865234,18.634031295776367,przystanek_tramwaj
3680239626,node,Stocznia Północna 01,,,,tram_stop,,,54.37196350097656,18.633790969848633,przystanek_tramwaj
3680239629,node,Twarda,,,,tram_stop,,,54.374671936035156,18.631336212158203,przystanek_tramwaj
3680239631,node,Węzeł Kliniczna,,,,tram_stop,,,54.37665939331055,18.630769729614258,przystanek_tramwaj
3680239848,node,Żwirki i Wigury 02,,,,tram_stop,,,54.39183044433594,18.606157302856445,przystanek_tramwaj
3680248864,node,Miedza n/ż 01,,,,,bus_stop,,54.33551788330078,18.66204071044922,przystanek_autobus
3680248866,node,Bratki 01,,,,,bus_stop,,54.334617614746094,18.67108154296875,przystanek_autobus
3680248867,node,Sierpowa,,,,,bus_stop,,54.33784866333008,18.674062728881836,przystanek_autobus
3680248868,node,Olszynka - Szkoła 02,,,,,bus_stop,,54.34180450439453,18.669034957885742,przystanek_autobus
3680248869,node,Zagony,,,,,bus_stop,,54.33634948730469,18.658676147460938,przystanek_autobus
3680499230,node,Migowo,,,,tram_stop,,,54.35243606567383,18.575754165649414,przystanek_tramwaj
3680499231,node,Migowo,,,,tram_stop,,,54.3526496887207,18.575984954833984,przystanek_tramwaj
3680535418,node,Jaśkowa Dolina 02,,,,tram_stop,,,54.37826919555664,18.606679916381836,przystanek_tramwaj
3680536223,node,Startowa 02,,,,tram_stop,,,54.39674758911133,18.597976684570312,przystanek_tramwaj
3680536224,node,Startowa 01,,,,tram_stop,,,54.39701461791992,18.597612380981445,przystanek_tramwaj
3681324004,node,Na Szańcach 02,,,,,bus_stop,,54.34467697143555,18.673114776611328,przystanek_autobus
3681366357,node,Dworkowa,,,,,bus_stop,,54.344425201416016,18.681364059448242,przystanek_autobus
3681366358,node,Gęsia,,,,,bus_stop,,54.33082580566406,18.667327880859375,przystanek_autobus
3681366359,node,Maki 01,,,,,bus_stop,,54.34511947631836,18.674718856811523,przystanek_autobus
3681366360,node,Olszynka - Niwki 01,,,,,bus_stop,,54.33588409423828,18.677242279052734,przystanek_autobus
3681366361,node,Zawodzie,,,,,bus_stop,,54.33932113647461,18.686723709106445,przystanek_autobus
3681424676,node,Łanowa IV,,,,,bus_stop,,54.3190803527832,18.681055068969727,przystanek_autobus
3681424678,node,Łanowa III,,,,,bus_stop,,54.32231903076172,18.677276611328125,przystanek_autobus
